"","MIC_003_HMP","MIC_009_HMP","MIC_010_HMP","MIC_011_HMP","MIC_012_HMP","MIC_013_HMP","MIC_017_HMP","MIC_019_HMP","MIC_022_HMP","MIC_026_HMP","MIC_033_HMP","MIC_034_HMP","MIC_047_HMP","MIC_050_HMP","MIC_052_HMP","MIC_055_HMP","MIC_056_HMP","MIC_059_HMP","MIC_062_HMP","MIC_064_HMP","MIC_065_HMP","MIC_005_HMP","MIC_006_HMP","MIC_007_HMP","MIC_014_HMP","MIC_015_HMP","MIC_020_HMP","MIC_023_HMP","MIC_025_HMP","MIC_027_HMP","MIC_028_HMP","MIC_029_HMP","MIC_032_HMP","MIC_036_HMP","MIC_037_HMP","MIC_039_HMP","MIC_040_HMP","MIC_043_HMP","MIC_044_HMP","MIC_045_HMP","MIC_049_HMP","MIC_058_HMP","MIC_063_HMP","MIC_066_HMP","MIC_067_HMP","MIC_016_HMP","MIC_021_HMP","MIC_024_HMP","MIC_030_HMP","MIC_031_HMP","MIC_042_HMP","MIC_053_HMP","MIC_054_HMP","MIC_057_HMP"
"Otu0001",58,486,660,101,524,786,131,775,203,210,1104,93,1145,563,1792,231,7,12,132,67,178,14,2602,842,1288,307,612,1158,77,621,1243,1189,989,343,27,1837,3290,1540,760,2928,407,501,112,1034,28,523,679,1334,1766,3238,1643,441,1810,74
"Otu0003",0,13,87,45,4,45,2,2,4,1,1,1497,297,7,14,33,7,32,136,2036,1927,5,12,8,1050,257,29,24,5,57,41,247,0,507,151,20,29,130,1,0,11,103,850,6943,789,121,5,90,78,50,0,70,103,0
"Otu0005",6,51,101,6,240,13,7,4,3,260,21,21,4,191,233,23,8,5,33,9,288,0,622,0,350,0,70,1,4,44,21,259,1,57,41,1414,784,746,0,1129,126,141,1,210,23,98,6,1180,350,1132,74,299,1535,28
"Otu0006",0,16,48,1,21,21,1,0,1,67,0,0,2,229,600,5,10,4,35,11,29,0,507,0,1228,0,0,6,3,13,13,36,1,45,18,381,2219,309,0,1,251,106,5,107,0,66,0,57,76,539,333,170,449,3
"Otu0009",1,19,0,0,356,2,1,1,0,16,1,1,1,85,37,38,1,1,162,9,11,0,19,0,4,0,0,0,0,2,2,2,1,1,17,278,2,0,0,0,70,1,0,12,0,11,0,28,455,689,0,330,1097,2
"Otu0010",1,35,183,37,4,40,1,1,0,1,1,146,13,7,8,27,3,23,7,134,165,2,24,1,1062,332,3,34,7,50,45,47,0,16,10,16,23,108,2,1,9,51,72,448,55,113,0,65,44,42,12,31,81,0
"Otu0012",0,9,0,0,173,9,0,2,1,8,2,17,2,26,41,14,2,2,1,1,0,0,157,0,655,0,0,2,0,5,6,3,0,13,14,260,52,0,0,0,23,12,0,7,8,22,1,17,92,128,76,142,925,0
"Otu0015",0,3,29,1,10,1,0,0,0,28,5,2,6,16,24,8,0,0,0,1,18,0,108,0,4,0,18,0,0,4,2,99,0,9,2,384,223,262,0,115,36,15,0,29,1,23,2,222,66,212,8,56,222,15
"Otu0016",0,5,0,0,15,1,0,2,5,26,2,1,5,53,147,3,2,0,46,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,26,104,427,0,226,731,0
"Otu0017",0,7,1,1,2,0,0,0,0,55,0,10,5,50,68,0,2,3,17,1,7,0,25,0,0,0,0,1,0,6,2,10,0,17,4,158,152,0,0,2,53,23,0,7,0,16,0,43,234,404,35,73,557,1
"Otu0018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,172,0,0,5,0,2,5,17,0,7,0,122,694,131,0,1,35,14,2,21,0,20,0,20,29,172,126,30,57,4
"Otu0020",0,11,0,0,7,2,0,1,11,1,1,0,2,54,59,0,0,0,0,0,2,0,122,1,38,0,0,0,0,0,4,1,0,1,8,689,73,2,0,1,45,56,0,2,1,18,0,0,477,14,0,17,44,0
"Otu0021",0,2,9,0,13,0,2,0,0,13,2,0,3,27,162,14,2,1,27,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,19,94,379,26,73,448,0
"Otu0022",0,2,1,0,5,2,1,5,0,13,3,5,2,28,62,2,2,0,20,0,1,0,41,0,3,0,1,1,2,5,4,9,1,2,4,52,160,1,1,1,29,25,0,22,0,10,0,22,410,273,257,10,32,0
"Otu0023",0,5,1,0,26,1,0,1,1,3,2,0,1,39,129,1,0,0,5,6,1,0,150,0,437,0,1,0,1,0,1,1,0,19,1,147,295,0,0,0,43,0,0,16,1,9,0,5,21,14,24,14,56,0
"Otu0025",0,21,15,1,0,178,7,14,3,2,14,6,60,1,0,0,0,0,0,1,1,0,2,87,11,3,190,213,4,12,212,34,55,3,0,2,2,10,19,39,0,0,6,26,27,5,45,0,2,1,54,1,5,4
"Otu0026",1,78,17,1,0,162,4,15,1,11,32,18,21,3,0,4,0,0,0,6,1,1,6,20,7,1,53,233,0,20,204,45,73,2,1,4,2,16,44,69,1,0,3,20,60,17,7,1,0,4,89,0,8,2
"Otu0027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,102,3,0,2,3,0
"Otu0028",0,3,0,1,0,1,0,0,0,155,3,2,1,4,63,0,2,0,1,1,4,0,27,0,0,8,1,0,0,1,2,138,0,5,1,35,142,1,0,1,12,6,0,0,0,3,0,43,245,315,1,40,113,2
"Otu0029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,2,0,1,0,7,64,0
"Otu0030",0,3,51,3,1,119,4,2,1,2,0,7,0,0,6,11,1,3,0,2,8,0,1,16,364,269,0,77,1,7,88,20,0,4,1,0,3,148,1,0,0,6,0,10,2,84,0,0,7,2,0,3,25,0
"Otu0031",2,23,78,12,0,122,15,0,0,6,47,3,147,52,17,103,1,2,0,7,1,0,4,7,26,4,5,60,2,39,53,2,60,37,0,2,1,11,63,0,7,13,19,9,2,5,3,1,16,1,26,10,99,1
"Otu0032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,139,0,0,2,0,1,1,16,0,0,3,78,398,0,1,2,3,0,0,5,1,1,0,0,1,20,124,13,26,0
"Otu0033",0,1,2,0,90,19,0,2,1,2,1,2,0,6,0,4,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,65,57,0,110,339,0
"Otu0034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,3,2,7,2,15,0,2,1,128,116,0,0,0,19,4,0,0,0,6,0,17,183,247,28,49,123,2
"Otu0035",0,5,1,0,28,1,1,1,2,2,1,0,0,7,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,71,53,0,0,21,0
"Otu0036",2,60,45,0,0,15,6,39,0,3,1,4,175,10,5,31,1,0,0,2,0,0,7,0,138,5,1,0,1,8,8,1,30,14,1,0,1,40,31,187,1,3,1,1,0,7,4,2,0,1,15,2,46,3
"Otu0037",0,5,2,0,0,1,0,0,2,26,1,2,0,12,11,6,3,0,7,2,10,0,30,0,123,0,18,0,0,6,4,46,0,22,2,97,191,0,0,0,19,12,0,9,0,4,0,28,13,49,17,15,158,8
"Otu0038",0,5,0,1,66,1,0,0,0,39,1,19,4,12,57,10,1,0,4,6,2,0,27,0,106,7,8,1,3,2,4,31,0,0,4,19,24,19,0,66,11,7,0,8,24,7,0,7,14,69,0,25,224,0
"Otu0039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,49,339,0,42,154,0
"Otu0040",0,3,21,5,0,63,0,2,0,1,0,8,2,0,0,0,1,5,1,6,9,0,1,46,455,62,0,31,6,4,23,0,0,5,1,7,6,0,0,0,2,13,4,23,2,35,0,0,4,6,0,5,36,0
"Otu0041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,0,63,307,0
"Otu0042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,0,5,0,3,1,2,0,0,5,55,8,0,0,0,17,8,0,1,0,3,0,14,27,99,0,77,260,0
"Otu0043",0,1,5,3,1,0,2,1,0,11,0,1,1,6,9,8,1,0,5,0,6,0,178,0,4,0,0,0,0,4,1,1,0,7,0,33,34,0,1,0,7,45,0,1,0,38,0,19,24,194,1,11,32,1
"Otu0044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,11,36,3,37,2
"Otu0046",0,0,22,1,1,30,1,0,0,0,217,3,6,0,1,3,0,1,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0047",0,0,14,0,16,0,0,0,0,6,1,1,0,7,22,6,2,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,249,0,24,69,0
"Otu0050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,19,0,4,10,0
"Otu0051",67,60,16,2,0,39,5,65,3,6,0,1,43,3,0,2,0,1,0,3,4,0,0,0,0,0,7,30,0,3,31,5,11,7,0,2,1,8,2,28,0,3,6,26,2,7,11,0,6,0,13,3,12,2
"Otu0052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,27,1,214,1,0,14,1
